,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
0,acute lymphoblastic leukaemia,Genomics in acute lymphoblastic leukaemia: insights and treatment implications,[0 0 1 1 1 0 0 0 0 0],[0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0]
1,chickenpox,"Efficacy, immunogenicity, safety, and use of live attenuated chickenpox vaccine",[0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0]
2,,"Uvulopalatopharyngoplasty, maxillomandibular advancement, and the velopharynx",[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,,Secretin is a true cholagogue,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
4,,Inflaming metastasis,[0 0],[0 0 0 0 0 0 0]
5,,An epidemiologic study of epithelial carcinoma of the ovary,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
6,,Dynamics of platelet thrombus formation,[0 0 0 0 0],[0 0 0 0 0 0 0 0]
7,,"Trabeculectomy, risk factors for failure and the preoperative state of the conjunctiva",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
8,bulimia,Bulimia nervosa,[1 0],[1 1 1 0 0 0 0]
9,,Development of the Shortness of Breath with Daily Activities questionnaire (SOBDA),[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
10,,The science of orgasm,[0 0 0 0],[0 0 0 0]
11,,Genetic testing for inherited heart disease,[0 0 0 0 0 0],[0 0 0 0 0 0]
12,,Crohn's disease of the duodenum.,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
13,genital herpes,Virologic characteristics of subclinical and symptomatic genital herpes infections,[0 0 0 0 0 0 1 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0]
14,brain tumours,Malignant brain tumours,[0 1 1],[0 0 1 1 1 1]
15,,Pathology and pathogenesis of retinal detachment,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
16,angioedema,Angioedema in the emergency department: a practical guide to differential diagnosis and management,[1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
17,,Diarrhoea in children: an interface between developing and developed countries,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,headache,Prevalence and clinical characteristics of an experimental model of 'ice-cream headache'in migraine and episodic tension-type headache patients,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
19,,"Open prostatectomy is still a valid option for large prostates: a high-volume, single-center experience",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
20,,Bariatric surgery,[0 0],[0 0 0 0]
21,restless legs syndrome,Epidemiology of restless legs syndrome: the current status,[0 0 1 1 1 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0]
22,gastro - oesophageal reflux disease,Update on the epidemiology of gastro-oesophageal reflux disease: a systematic review,[0 0 0 0 0 1 1 1 1 1 0 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0]
23,,Lactic acidosis,[0 0],[0 0 0 0]
24,hodgkin lymphoma,The epidemiology of non-Hodgkin lymphoma,[0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
25,,Management of the dry ejaculate: a systematic review of aspermia and retrograde ejaculation,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
26,iron deficiency anaemia,The stomach and iron deficiency anaemia: a forgotten link,[0 0 0 1 1 1 0 0 0 0],[0 0 0 1 1 1 1 0 0 0 0]
